Category,Calculator title,Calculator ID,Final file path,Icon ID,Icon source,Calculator source,Functional test,Formula review,Mobile test,Print test,Stage 1 status,Required action,Notes
Foundations,Foundation Excavation,foundationExcavation,calculators/foundationExcavation.html,foundationExcavation,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Vertical-sided trench. Working space is added to both sides. Bulking is applied after excavation.
Foundations,Random Rubble Foundation Wall,randomRubble,calculators/randomRubble.html,randomRubble,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,"Stone and mortar proportions are user-editable. Cement density is taken as 1,440 kg/m³ and bag mass as 50 kg."
Foundations,Strip Footing,stripFooting,calculators/stripFooting.html,stripFooting,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Nominal mix quantities are indicative. Replace with the project mix design or supplier data before procurement.
Foundations,Pad Footing,padFooting,calculators/padFooting.html,padFooting,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Includes an optional rectangular pedestal. Reinforcement rate is editable and for estimating only.
Foundations,Ground Beam,groundBeam,calculators/groundBeam.html,groundBeam,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,"Straight prismatic beam. Reinforcement allowance is an estimating rate, not design reinforcement."
Foundations,Foundation Reinforcement,foundationRebar,calculators/foundationRebar.html,foundationRebar,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Uses theoretical unit mass d²/162 kg/m. All detailing allowances remain editable.
Masonry,Brick Wall,brickWall,calculators/brickWall.html,brickWall,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Modular face size includes the mortar joint. Double-leaf selection doubles the face count.
Masonry,Concrete Block Wall,blockWall,calculators/blockWall.html,blockWall,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Block and joint dimensions are editable. Openings are deducted by area.
Masonry,Stone Masonry,stoneMasonry,calculators/stoneMasonry.html,stoneMasonry,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Volume method. Stone and mortar proportions are estimating assumptions.
Masonry,Masonry Mortar,mortar,calculators/mortar.html,mortar,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Standalone mortar calculator. Water demand is indicative and must be adjusted for sand moisture and workability.
Masonry,Wall Ties,wallTies,calculators/wallTies.html,wallTies,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,"Regular grid plus additional ties around openings. This is a quantity calculator, not a wall-tie specification selector."
Masonry,Lintels,lintels,calculators/lintels.html,lintels,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Lintel length equals clear opening plus two end bearings. Material dimensions and unit mass are editable.
Reinforced Concrete,General Concrete,generalConcrete,calculators/generalConcrete.html,generalConcrete,Recovered approved contact-sheet render,Rebuilt as calculator-specific standalone HTML using Stage 1 register and source programme concepts,"Pass — default, small, large and decimal formula sets",Internal beta — assumptions disclosed,Pass — responsive mobile controls and single-column breakpoints present,Pass — dedicated print CSS and Print/PDF control present,Verified working route — internal beta,Independent QS/engineering and product-data review before public release,Nominal mix quantities are indicative. Replace with the project mix design or supplier data before procurement.
